id	sample1	sample2	sample3	sample4	sample5	sample6
gene455	41.68	51.58	53.77	135.18	145.59	142.69
gene456	1.81	1.04	2.01	2.03	2.61	1.18
gene457	22.6	10.93	26.47	77.73	25.7	65.77
gene458	36.13	54.11	66.32	37.08	46.72	41.75
gene459	4.57	7.19	7.7	9.59	8.45	10.86
gene460	48.85	78.47	71.03	81.88	111.36	90.66
gene461	581.38	680.34	834.45	729.07	838.54	656.45
gene462	10.38	9.82	13.32	15.82	14.96	15.11
gene463	3.79	5.09	4.03	7.17	6.0	4.45
gene464	1.25	0.55	1.06	1.41	1.18	1.47
gene465	8.63	5.05	8.86	14.6	3.48	6.81
gene466	47.4	62.73	55.85	61.41	58.56	66.72
gene467	623.06	1035.16	897.47	1111.01	1870.03	1384.23
gene468	1.09	1.28	0.82	2.27	1.49	1.1
gene469	5.92	8.98	11.27	10.85	12.69	9.77
gene470	33.72	53.35	52.64	36.22	37.68	43.0
gene471	64.89	101.94	104.01	71.24	92.39	74.37
gene472	144.8	144.98	160.11	204.96	316.27	257.21
gene473	20.21	28.06	28.11	23.86	31.48	26.29
gene474	137.57	225.37	206.49	256.79	311.57	294.1
gene475	101.11	156.4	145.71	96.26	90.94	93.23
gene476	54.2	80.4	99.58	146.59	105.04	96.49
gene477	0.0	3.26	0.0	1.52	1.51	1.49
gene478	0.0	0.54	1.73	0.5	0.5	0.0
gene479	62.82	48.26	63.15	51.07	43.81	48.59
gene480	9.13	8.59	8.72	18.79	14.75	16.82
gene481	17.41	15.68	23.04	18.15	10.39	14.13
gene482	80.46	79.19	111.17	186.65	158.93	179.97
gene483	878.61	927.26	1024.19	2283.9	2192.42	2350.0
gene484	0.6	0.63	1.0	4.91	3.64	5.05
gene485	377.48	415.16	493.19	427.6	617.1	480.58
gene486	142.89	172.6	185.95	233.29	217.92	229.73
gene487	29.27	49.06	45.76	81.59	114.22	84.4
gene488	1.91	2.55	4.47	0.71	0.7	1.2
gene489	1.53	0.81	1.56	3.37	1.59	3.02
gene490	73.39	98.25	114.39	56.42	49.04	41.49
gene491	130.3	190.15	189.77	96.79	132.04	106.66
gene492	19.84	34.52	35.18	30.25	36.71	30.83
gene493	62.69	84.74	96.8	80.85	91.55	84.72
gene494	0.0	3.48	1.87	4.11	1.22	0.8
gene495	378.11	452.26	480.2	465.16	392.31	427.31
gene496	17.84	19.92	26.95	30.64	25.92	34.18
gene497	0.0	1.23	1.33	6.28	5.11	7.81
gene498	44.35	55.54	54.77	214.07	229.7	177.71
gene499	6.5	16.55	13.97	41.84	24.69	35.45
gene500	7.82	9.49	15.97	16.04	10.87	13.71
gene501	2.06	4.95	3.1	2.35	6.21	2.67
gene502	139.97	100.84	213.19	99.26	112.98	101.86
gene503	22.87	25.37	38.04	59.58	33.13	59.88
gene504	11.27	4.41	7.72	9.76	5.11	6.02
gene505	132.68	153.76	231.24	146.14	120.33	127.39
gene506	14.14	31.24	37.74	28.14	17.76	22.51
gene507	9.58	6.61	13.66	13.35	11.23	11.53
gene508	27.17	44.77	42.13	38.57	56.91	41.38
gene509	2.47	1.62	2.05	3.39	1.99	1.82
gene510	9.0	9.57	9.75	17.48	11.54	11.51
gene511	70.05	41.85	50.87	60.63	57.29	48.9
gene512	196.72	189.05	247.55	189.56	283.6	169.25
gene513	6.65	10.24	9.96	14.0	16.06	12.78
gene514	278.45	534.11	425.72	361.93	518.17	440.12
gene515	84.51	108.21	117.35	138.09	177.45	135.94
gene516	4.29	6.5	5.12	7.47	6.02	4.15
gene517	31.42	35.39	34.56	73.97	62.99	69.56
gene518	145.61	193.76	222.27	176.14	297.32	188.0
gene519	0.0	0.35	0.0	0.0	0.0	0.0
gene520	81.57	96.77	98.07	199.22	183.87	182.69
gene521	0.0	0.68	0.0	0.0	1.24	0.61
gene522	199.01	293.92	296.7	147.64	234.2	171.61
gene523	73.29	89.68	75.57	259.23	207.28	254.99
gene524	16.76	20.72	21.77	31.25	34.77	36.23
gene525	788.71	1065.01	1063.03	1019.66	1293.65	982.94
gene526	40.21	51.44	54.48	65.48	71.3	68.23
gene527	76.05	101.35	91.43	41.09	39.83	27.08
gene528	21.54	32.22	32.79	29.1	32.72	30.61
gene529	377.73	577.42	660.8	435.29	499.08	438.76
gene530	7.72	11.45	11.99	12.15	18.35	12.13
gene531	38.3	58.05	55.6	76.09	111.47	88.16
gene532	6.91	4.64	6.1	6.2	3.74	4.83
gene533	28.62	43.67	42.69	70.37	68.21	70.91
gene534	3.8	3.49	4.74	3.23	2.99	3.63
gene535	10.64	13.58	14.51	21.71	24.11	21.64
gene536	238.12	252.26	259.6	239.37	263.95	268.92
gene537	77.87	118.89	122.55	172.83	172.27	167.2
gene538	6.68	12.67	17.65	39.72	34.18	33.11
gene539	7.67	7.83	7.81	13.05	11.43	12.81
gene540	11.63	18.34	10.44	88.63	74.97	96.25
gene541	123.61	133.04	186.65	65.78	89.06	65.49
gene542	14.1	21.0	24.43	45.99	35.5	33.99
gene543	17.14	25.31	18.52	40.57	53.18	45.49
gene544	31.19	26.86	35.48	44.63	70.38	58.21
gene545	10.93	16.59	17.12	6.28	7.03	7.12
gene546	2.04	2.31	2.66	3.99	2.58	4.88
gene547	22.84	26.57	32.18	16.85	12.51	17.45
gene548	133.56	243.02	236.1	110.2	148.79	92.15
gene549	2.34	4.18	7.49	7.43	3.04	1.7
gene550	6.31	4.09	4.47	8.25	4.73	4.66
gene551	12.36	14.54	18.19	21.66	18.72	20.18
gene552	70.89	99.61	103.2	49.58	57.16	51.79
gene553	2.72	4.83	5.74	5.38	5.08	4.87
gene554	41.87	62.35	59.25	104.61	147.69	128.25
gene555	1.06	3.95	8.47	9.92	5.77	10.31
gene556	4.32	3.9	10.61	9.57	6.08	11.13
gene557	0.0	0.0	2.54	0.0	0.0	1.89
gene558	23.14	39.32	42.12	27.74	36.78	35.15
gene559	88.18	143.03	149.21	187.36	250.21	206.87
gene560	3.55	4.57	4.44	10.8	11.87	12.77
gene561	14.14	18.35	19.1	25.97	40.08	29.45
gene562	0.39	0.69	0.59	1.35	9.76	1.7
gene563	24.71	45.19	41.38	58.77	56.56	57.12
gene564	6.92	4.71	1.13	6.36	1.94	3.34
gene565	109.16	136.83	132.99	101.2	159.21	112.13
gene566	513.22	705.23	658.15	1071.51	1283.27	1145.93
gene567	42.07	54.24	50.79	63.58	70.67	56.51
gene568	4.44	14.16	7.03	7.83	5.61	8.85
gene569	124.61	125.61	128.09	156.87	135.08	129.37
gene570	66.83	24.78	114.12	19.71	22.05	21.26
gene571	73.34	79.07	78.15	63.46	81.32	65.98
gene572	5.31	5.94	6.88	10.48	10.36	9.26
gene573	334.34	478.48	441.44	273.86	384.78	304.25
gene574	8.42	10.13	9.7	19.53	20.42	19.06
gene575	93.19	125.43	119.93	161.63	153.51	150.87
gene576	25.41	36.42	29.88	31.29	36.97	32.77
gene577	357.94	435.6	453.94	288.03	393.31	318.6
gene578	0.0	0.74	0.8	1.35	0.0	1.32
gene579	238.61	293.34	315.71	283.56	339.49	294.99
gene580	20.22	27.41	27.87	17.69	22.55	15.9
gene581	2.29	3.12	3.33	4.72	5.9	3.9
gene582	21.93	28.44	26.88	56.41	110.5	55.87
gene583	72.77	112.04	109.85	102.24	148.04	93.99
gene584	16.31	19.87	20.56	33.53	38.46	36.64
gene585	6.23	7.99	9.55	7.29	10.22	6.93
gene586	1.9	2.63	3.8	0.79	4.72	0.77
gene587	52.96	45.05	50.99	67.59	50.02	67.17
gene588	1.59	3.37	3.59	7.67	4.61	5.21
gene589	7.94	17.63	22.46	17.92	21.7	18.74
gene590	362.64	108.78	1069.62	12.78	8.51	4.19
gene591	11.46	16.02	18.54	10.91	12.9	10.55
gene592	4.92	6.5	6.93	10.28	11.02	8.72
gene593	42.23	63.41	66.85	64.3	90.59	69.47
gene594	15.23	12.8	12.86	19.17	14.37	19.42
gene595	17.03	20.54	24.7	17.05	22.44	14.94
gene596	48.25	62.85	63.49	91.92	99.29	84.14
gene597	2.89	2.12	3.64	1.73	1.37	2.35
gene598	5.12	8.66	8.55	12.58	12.48	13.2
gene599	571.88	867.71	864.68	516.34	538.31	511.71
gene600	49.87	65.91	61.65	62.56	102.79	77.44
gene601	35.55	62.44	39.27	745.39	801.01	706.47
gene602	0.27	0.27	1.47	3.44	2.62	2.57
gene603	16.35	22.79	21.94	24.8	26.05	26.69
