id	sample1	sample2	sample3	sample4	sample5	sample6
gene820	20.51	25.8	25.14	82.85	52.33	86.72
gene821	116.72	180.55	176.59	115.53	176.63	140.01
gene822	169.48	242.7	254.85	140.84	177.17	146.76
gene823	0.17	0.35	0.19	0.0	0.0	0.34
gene824	52.46	71.71	67.23	279.21	255.2	275.02
gene825	210.56	221.13	307.87	141.15	140.21	117.19
gene826	144.18	53.71	247.64	7.26	9.75	9.88
gene827	2.34	1.54	2.14	4.82	2.09	2.33
gene828	4.51	3.93	6.48	2.92	5.38	4.69
gene829	115.91	168.24	183.2	220.67	241.77	232.86
gene830	18.59	37.3	38.54	51.77	80.52	58.98
gene831	67.96	92.74	76.49	32.07	25.5	30.7
gene832	5.75	4.75	5.62	5.81	5.77	5.22
gene833	47.37	30.45	43.42	49.36	23.01	32.91
gene834	27.19	45.27	47.2	30.75	37.49	36.41
gene835	430.51	415.49	511.0	389.93	523.87	368.12
gene836	11.1	14.84	32.27	56.76	48.18	39.1
gene837	12.57	9.41	7.92	14.17	7.71	9.69
gene838	1504.99	1725.96	1680.71	595.56	644.02	596.18
gene839	62.79	65.22	80.84	275.91	153.72	227.73
gene840	137.17	185.07	180.74	161.84	152.11	160.6
gene841	11.5	6.98	6.46	10.34	12.36	9.75
gene842	5.65	4.06	2.54	6.14	3.53	6.91
gene843	26.5	16.26	27.64	32.11	7.14	28.53
gene844	118.41	128.16	147.52	208.41	223.54	204.66
gene845	226.83	286.25	278.37	185.88	205.04	191.96
gene846	1599.11	1461.37	2118.98	1453.23	852.06	1087.61
gene847	39.97	38.1	41.62	64.08	70.51	69.45
gene848	20.5	5.45	13.41	27.1	22.45	12.82
gene849	8.94	12.73	13.62	9.41	9.8	11.24
gene850	170.4	178.12	226.44	228.28	237.62	225.84
gene851	131.07	158.02	175.18	210.5	263.05	218.02
gene852	118.55	141.62	157.69	113.43	112.2	117.47
gene853	459.85	603.9	667.36	374.11	639.24	461.15
gene854	6.15	7.41	10.71	13.34	12.97	14.0
gene855	4410.23	2093.33	5836.25	190.98	107.39	198.44
gene856	2.21	3.4	3.71	13.42	8.84	12.9
gene857	155.67	189.56	244.15	246.4	304.3	258.58
gene858	42.32	50.49	48.36	58.45	59.18	55.74
gene859	44.49	57.06	67.04	63.66	65.44	66.92
gene860	25.98	33.1	27.5	37.88	25.31	34.04
gene861	0.92	1.73	1.85	1.5	4.26	0.54
gene862	44.77	66.61	68.26	65.44	79.61	70.27
gene863	0.27	1.06	1.23	2.83	2.24	2.01
gene864	154.88	190.0	227.07	80.2	94.86	71.81
gene865	98.27	137.99	143.78	123.81	162.54	127.53
gene866	491.76	438.69	561.43	356.05	276.44	296.36
gene867	15.41	31.82	28.25	40.45	49.33	37.88
gene868	126.56	163.59	170.24	162.28	228.2	196.42
gene869	125.11	164.43	169.47	187.75	259.01	208.39
gene870	0.0	4.13	6.12	4.35	5.77	4.72
gene871	4.83	7.63	5.27	71.93	47.89	66.16
gene872	21.44	21.14	33.42	13.82	11.9	10.55
gene873	9.4	25.47	21.37	22.42	35.47	22.61
gene874	59.95	87.17	89.3	77.37	108.82	88.2
gene875	10.78	9.14	13.11	11.11	10.39	10.96
gene876	5.02	7.24	10.64	21.27	15.41	17.44
gene877	23.93	38.03	36.6	40.13	22.12	27.14
gene878	10.15	18.32	21.18	51.28	54.76	52.15
gene879	5.58	3.99	5.82	3.72	3.47	2.82
gene880	63.51	80.75	102.98	146.66	199.3	145.81
gene881	8.61	7.54	9.84	11.84	7.77	10.81
gene882	14.41	17.05	20.22	17.12	11.43	16.99
gene883	0.58	1.61	1.51	1.76	1.16	2.09
gene884	0.85	1.59	0.0	3.6	0.72	4.23
gene885	40.71	55.24	61.89	91.96	126.24	88.15
gene886	37.15	39.84	43.95	38.23	43.12	39.67
gene887	13.22	19.06	20.98	27.39	26.35	30.44
gene888	1119.45	1307.41	1279.82	593.89	678.91	621.62
gene889	14.37	7.84	9.01	14.68	14.59	15.75
gene890	11.73	15.13	18.01	21.59	20.33	18.87
gene891	144.27	178.8	173.08	164.43	135.58	180.64
gene892	2.5	3.2	3.33	3.91	5.2	3.63
gene893	81.77	103.4	97.91	100.43	139.61	115.25
gene894	16.35	12.4	16.43	17.7	11.86	19.4
gene895	32.32	16.69	27.78	16.12	18.37	16.18
gene896	116.11	134.65	168.64	227.6	214.17	206.9
gene897	14.83	29.88	25.8	479.03	309.85	550.52
gene898	115.3	152.98	164.85	246.87	199.31	235.72
gene899	19.7	18.04	21.73	21.43	15.21	17.89
gene900	116.66	168.16	164.73	181.49	203.72	187.03
gene901	1.21	2.02	4.78	3.84	3.43	4.11
gene902	4.74	7.22	7.37	11.49	11.07	9.26
gene903	19.15	19.09	19.57	31.86	31.63	26.95
gene904	70.08	74.65	101.68	46.83	46.99	42.83
gene905	9.46	17.05	19.31	28.38	23.13	16.5
gene906	230.12	285.81	315.84	69.06	58.59	62.33
gene907	18.34	20.09	22.96	15.1	12.34	14.27
gene908	0.62	2.93	2.9	1.71	2.43	2.48
gene909	95.95	130.86	134.45	111.96	146.68	122.61
gene910	1.31	3.04	0.0	4.93	4.08	4.0
gene911	10.53	10.13	13.26	7.63	5.97	8.96
gene912	30.1	42.51	34.07	16.6	14.91	20.35
gene913	1.65	4.06	3.33	4.65	10.25	6.75
gene914	1.02	1.03	1.84	1.31	3.58	1.92
gene915	54.03	70.69	78.47	106.31	121.98	110.45
gene916	86.47	92.73	85.0	156.91	152.86	153.17
gene917	403.24	384.78	446.35	297.31	206.71	294.74
gene918	35.05	22.16	30.66	48.73	20.11	35.31
gene919	48.23	77.79	81.61	46.55	62.15	48.3
gene920	685.75	940.01	988.18	1603.62	2320.19	1543.73
gene921	119.56	234.17	244.09	236.47	326.35	222.89
gene922	77.74	68.94	109.81	248.1	116.78	170.78
gene923	54.46	46.18	57.29	94.71	64.34	69.05
gene924	443.4	505.61	530.67	671.67	1275.64	770.17
gene925	219.39	239.37	261.11	374.33	390.57	365.76
gene926	264.18	401.51	402.25	348.3	389.39	332.02
gene927	445.24	406.57	473.32	441.97	717.26	501.57
gene928	28.91	20.84	63.22	16.66	10.38	13.2
gene929	285.8	243.28	337.93	255.11	164.9	178.79
gene930	20.35	28.39	31.49	38.35	30.36	37.95
gene931	4.95	4.75	5.65	6.01	6.92	6.04
gene932	42.42	55.13	60.22	2.76	20.29	5.73
gene933	35.25	42.11	46.75	70.87	70.77	76.52
gene934	45.59	63.59	74.24	64.63	74.2	61.78
gene935	194.87	268.59	293.05	436.79	691.0	494.4
gene936	7.84	10.52	8.5	15.13	13.78	11.9
gene937	64.87	97.72	99.8	93.04	148.3	93.5
gene938	948.59	1552.11	1683.38	509.74	598.99	504.13
gene939	329.0	583.96	425.83	2135.21	2272.4	2164.78
gene940	4.13	2.13	2.84	3.59	1.27	1.0
gene941	160.3	189.27	258.62	301.06	362.88	315.96
gene942	231.77	439.89	384.86	452.84	615.15	543.46
gene943	4.39	6.64	6.68	19.42	40.85	28.19
gene944	0.38	4.3	3.15	9.61	8.2	8.66
gene945	1.18	0.9	2.58	6.07	5.16	5.33
gene946	22.42	21.15	29.57	14.99	15.29	13.97
gene947	19.95	21.58	19.6	12.77	17.56	13.82
gene948	3.41	5.65	5.2	5.42	4.86	5.24
gene949	34.9	40.92	56.52	66.29	57.62	61.2
gene950	5.7	8.4	5.13	8.67	8.07	8.77
gene951	19.46	13.06	12.16	19.21	20.02	16.42
gene952	123.69	179.98	165.25	85.22	159.68	103.83
gene953	55.66	62.53	71.68	76.42	82.59	71.5
gene954	6.5	7.88	11.12	2.71	2.49	3.66
gene955	62.04	89.45	113.17	80.33	97.44	84.87
gene956	69.61	77.69	78.52	70.53	78.96	76.5
gene957	13.03	18.46	14.17	20.85	34.03	20.89
gene958	188.4	303.55	336.85	167.23	256.18	190.46
gene959	12.7	18.11	15.46	21.56	31.86	29.6
gene960	0.0	0.62	1.33	1.71	1.7	0.56
gene961	7.27	13.26	11.86	29.24	25.07	22.69
gene962	29.83	35.07	33.42	40.24	52.03	51.04
gene963	30.72	38.26	33.42	65.69	59.94	63.16
gene964	476.55	562.51	542.41	586.73	739.33	670.24
gene965	6.73	14.45	6.33	39.79	32.45	35.7
gene966	19.12	29.87	28.85	31.66	44.84	37.81
gene967	41.44	44.96	61.34	79.82	59.64	70.72
gene968	1.44	4.35	5.53	3.92	5.98	2.53
gene969	9.46	11.42	11.62	19.18	23.43	20.93
gene970	10.77	11.33	14.62	21.68	20.41	25.59
gene971	30.15	47.24	60.08	17.73	18.45	20.64
gene972	808.77	878.74	1017.81	626.62	535.66	569.03
gene973	4.35	7.39	7.8	2.36	3.33	2.77
gene974	401.55	618.92	704.48	111.71	125.35	112.03
gene975	18.67	26.27	27.52	61.68	53.46	69.93
gene976	613.09	763.03	607.94	752.36	636.33	682.73
gene977	48.2	70.47	67.82	48.3	72.96	61.23
gene978	10.08	12.0	11.22	65.71	35.44	55.6
gene979	0.0	0.0	0.0	0.0	0.0	0.79
gene980	83.97	156.08	162.66	167.92	259.43	199.82
gene981	45.01	72.67	60.69	69.37	85.38	78.01
gene982	0.29	1.66	3.97	1.16	2.61	1.35
gene983	15.99	22.44	21.44	30.98	26.65	27.0
gene984	26.7	37.5	36.68	38.47	50.4	42.33
gene985	290.41	408.0	425.67	426.84	388.91	443.24
gene986	6.92	7.32	8.45	8.32	5.83	6.2
gene987	50.67	63.15	72.62	66.9	60.57	61.33
gene988	3.75	6.06	8.58	5.97	5.52	6.06
gene989	21.68	28.26	32.06	171.34	95.24	152.73
gene990	6.19	12.86	9.47	14.61	14.03	14.43
gene991	27.11	36.2	38.48	79.95	86.41	87.79
gene992	3.89	5.85	6.58	8.63	10.75	7.94
gene993	213.33	221.09	278.91	342.43	469.35	338.82
gene994	2.16	0.0	0.8	0.24	0.24	0.0
gene995	43.98	57.56	63.69	172.58	174.2	174.4
gene996	73.25	93.9	110.52	110.78	112.72	103.14
gene997	73.68	45.74	67.75	40.11	22.17	30.74
gene998	37.84	43.95	54.15	45.87	45.13	41.66
gene999	73.86	130.07	102.56	901.37	736.31	888.89
gene1000	20.99	34.59	32.26	18.37	22.58	22.16
gene1001	133.81	188.8	183.2	192.86	223.78	198.01
gene1002	482.95	546.29	612.34	448.23	432.6	437.18
gene1003	2.87	3.03	3.51	5.3	3.83	4.75
gene1004	13.48	16.73	26.45	11.93	4.68	4.82
gene1005	51.11	76.48	85.41	55.94	77.64	62.62
gene1006	2.34	13.68	17.26	6.56	9.92	13.06
gene1007	83.52	96.34	106.91	42.09	69.04	47.63
gene1008	14.61	21.94	15.48	28.28	28.88	26.15
gene1009	16.1	23.23	23.89	34.59	39.21	32.85
gene1010	7.64	7.96	7.83	7.95	3.3	8.43
gene1011	15.05	17.79	19.74	26.62	29.32	27.65
gene1012	1.25	1.28	0.34	0.0	1.82	1.49
gene1013	18.4	15.43	19.45	22.7	32.57	26.67
gene1014	243.52	330.74	387.68	483.85	511.68	458.23
gene1015	5.39	6.81	3.1	3.55	3.74	3.51
gene1016	21.41	26.76	29.8	59.43	79.57	63.83
gene1017	2.8	3.82	3.6	5.1	4.72	3.98
gene1018	27.91	22.53	29.48	50.11	33.38	57.22
gene1019	200.3	217.65	235.56	138.23	161.06	134.74
gene1020	22.35	14.64	15.21	25.44	9.72	13.36
gene1021	14.49	16.26	16.58	25.88	27.15	21.89
gene1022	3.2	8.22	7.07	10.38	13.9	11.66
gene1023	330.26	173.7	279.33	84.58	41.57	64.67
gene1024	1.86	3.27	1.75	3.94	11.72	3.83
gene1025	549.36	853.93	857.9	701.69	898.43	668.91
gene1026	4.51	7.89	7.75	15.73	15.17	9.63
gene1027	1.95	2.39	2.27	1.41	2.09	1.85
gene1028	55.43	57.99	51.03	101.82	112.84	104.17
gene1029	15.69	21.56	16.32	21.56	39.92	30.01
gene1030	60.59	85.24	79.22	94.49	105.21	95.25
gene1031	48.6	54.23	119.62	10.76	13.67	5.47
gene1032	236.47	285.29	327.99	184.23	258.42	201.62
gene1033	213.16	305.36	307.12	752.15	727.2	671.54
gene1034	5.02	5.09	6.86	15.42	4.37	15.75
gene1035	3.97	2.69	3.09	3.01	2.98	3.7
gene1036	13.38	17.64	16.56	23.19	22.69	23.81
gene1037	220.61	353.48	384.68	190.94	137.36	224.1
gene1038	31.73	37.45	37.54	86.23	72.49	80.03
gene1039	0.88	2.05	2.68	3.75	2.62	3.21
gene1040	11.99	12.16	15.75	16.57	18.19	19.57
gene1041	101.65	142.57	164.63	119.69	139.82	114.62
gene1042	102.75	87.18	107.66	17.47	17.0	19.75
gene1043	0.23	0.24	1.76	1.82	1.58	1.77
gene1044	307.95	386.7	453.24	220.75	376.62	313.29
gene1045	4.44	4.99	7.72	7.56	6.15	4.39
gene1046	4.12	5.72	5.62	7.05	5.95	6.74
gene1047	6.81	6.33	7.13	356.15	137.01	234.87
gene1048	5.29	7.73	8.63	25.58	34.35	27.28
gene1049	2.91	7.51	4.97	6.8	5.52	6.76
gene1050	22.86	27.79	35.51	26.99	37.41	32.43
gene1051	54.89	67.32	65.1	9.51	9.65	12.86
gene1052	1.64	2.86	5.7	4.08	7.71	5.57
gene1053	102.87	147.99	134.92	1177.51	1061.67	1280.01
gene1054	22.03	26.17	24.52	19.35	19.36	20.84
gene1055	57.16	99.07	92.27	51.41	55.29	47.8
gene1056	144.15	178.72	209.98	222.31	223.0	207.64
gene1057	19.14	18.08	16.88	49.65	24.82	36.33
gene1058	21.68	17.34	25.0	13.92	5.44	11.02
gene1059	25.74	35.79	37.28	43.04	45.77	36.69
gene1060	852.57	854.83	1037.86	982.6	546.81	831.96
gene1061	4.36	6.44	7.66	5.03	7.16	5.51
gene1062	3.78	5.95	5.03	9.4	9.99	8.89
gene1063	65.74	80.74	105.25	95.82	126.84	104.54
gene1064	35.15	39.15	42.75	59.74	40.39	58.09
gene1065	5.42	17.82	19.43	28.07	13.53	19.49
gene1066	1.08	3.55	2.68	4.27	5.67	4.46
gene1067	83.87	108.52	104.35	69.87	70.28	62.73
gene1068	40.95	62.09	65.01	52.8	62.21	52.08
gene1069	82.04	65.92	72.74	105.7	94.96	81.3
gene1070	48.38	47.53	52.13	66.29	66.01	56.42
gene1071	348.2	120.9	563.88	25.49	24.17	34.64
gene1072	5.75	7.6	5.11	8.49	5.3	7.4
gene1073	6.73	8.53	10.64	10.7	9.14	11.06
gene1074	0.22	0.9	1.44	191.47	217.89	207.89
gene1075	257.52	392.09	366.53	431.05	538.78	453.96
gene1076	62.15	97.39	113.76	107.6	145.45	123.27
gene1077	446.21	648.28	762.53	550.57	853.0	600.43
gene1078	94.89	114.38	125.43	113.88	168.06	135.39
gene1079	42.57	62.05	57.0	43.75	65.21	44.71
gene1080	3.36	8.07	8.36	11.31	11.26	16.59
gene1081	23.58	25.35	39.57	27.51	14.13	15.83
gene1082	7.47	12.99	9.48	13.11	9.12	15.76
gene1083	4.37	10.98	4.59	14.67	16.81	12.79
gene1084	19.68	25.54	33.16	36.7	46.51	39.39
gene1085	0.23	2.41	4.64	6.06	6.0	3.84
gene1086	167.48	234.78	258.53	224.82	342.38	255.54
gene1087	7.77	12.69	17.04	39.34	37.59	45.46
gene1088	83.61	123.93	136.62	117.64	153.18	128.25
gene1089	422.53	685.2	703.63	239.48	326.73	254.1
gene1090	318.78	336.41	358.15	242.46	338.19	270.53
gene1091	43.8	38.25	44.99	153.68	146.37	135.16
gene1092	5.54	7.39	7.18	8.12	36.56	12.3
gene1093	9.7	15.62	15.73	19.84	25.81	25.33
gene1094	2.71	1.54	4.62	5.61	5.85	4.3
gene1095	61.26	99.71	102.9	30.79	22.83	27.43
gene1096	4.39	8.28	7.76	2.58	1.72	2.86
gene1097	2.16	3.27	6.07	5.29	6.2	5.8
gene1098	448.76	555.25	616.26	964.12	1455.55	964.85
gene1099	5.61	8.53	12.59	11.2	9.76	12.54
gene1100	9.7	13.52	15.59	21.15	20.33	21.33
gene1101	211.39	280.08	303.77	141.82	217.08	168.27
gene1102	0.57	2.2	1.71	3.69	4.42	3.01
gene1103	2.34	2.87	2.75	7.73	6.06	7.11
gene1104	6.99	6.32	9.57	7.08	8.43	8.26
gene1105	22.82	36.25	34.72	40.11	20.83	45.21
gene1106	16.41	26.25	23.06	40.37	39.21	44.91
gene1107	8.22	17.47	13.66	12.95	17.47	17.85
gene1108	15.92	17.25	12.99	17.1	10.23	19.44
gene1109	23.15	34.7	34.61	28.88	31.53	29.55
gene1110	109.34	157.33	169.18	133.87	155.49	132.19
gene1111	23.89	18.43	22.15	14.18	15.57	14.4
gene1112	60.84	78.03	90.65	99.85	125.97	118.21
gene1113	0.0	0.0	0.0	1.64	0.0	0.0
gene1114	25.34	31.66	35.38	45.99	52.19	48.09
gene1115	11.25	10.67	10.01	10.43	11.04	8.93
gene1116	5.23	8.19	10.86	56.97	36.27	65.07
gene1117	1547.69	1887.03	1851.52	2241.4	2526.39	2278.96
gene1118	2.8	4.07	3.89	4.26	10.87	6.12
gene1119	29.81	33.45	32.28	1346.51	1710.88	1400.33
gene1120	4.51	3.93	6.48	2.92	5.38	4.69
gene1121	17.77	14.97	12.91	22.33	34.81	17.21
gene1122	74.24	116.17	107.01	85.73	123.61	94.01
gene1123	27.21	30.61	29.53	30.95	50.53	36.59
gene1124	5.99	2.74	4.96	12.28	5.72	7.24
gene1125	208.99	297.06	325.23	214.98	321.96	254.32
gene1126	287.87	366.91	419.77	223.03	287.61	228.29
gene1127	16.4	9.85	11.09	15.38	8.22	18.24
gene1128	23.62	25.69	38.07	30.4	29.84	34.26
gene1129	55.66	62.53	71.68	76.42	82.59	71.5
gene1130	43.45	49.52	48.94	78.61	114.67	74.48
gene1131	0.85	0.7	1.71	1.48	1.95	1.81
gene1132	181.67	200.23	220.55	171.45	176.06	152.72
gene1133	35.22	58.47	59.78	114.89	86.27	115.2
gene1134	24.27	27.18	28.27	22.14	27.95	24.83
gene1135	186.99	293.6	257.73	101.81	146.81	113.4
gene1136	18.72	27.27	29.95	23.69	28.46	22.73
gene1137	7.55	7.21	8.11	10.25	9.26	8.3
gene1138	5.72	8.29	12.18	4.58	6.89	5.68
gene1139	0.0	0.88	1.9	0.79	0.79	0.0
gene1140	2829.34	3341.62	3304.08	3492.67	4459.37	3773.26
gene1141	106.2	65.69	82.75	81.62	84.84	85.19
gene1142	4.11	8.07	9.58	13.1	11.41	11.54
gene1143	4.5	8.57	10.41	10.27	11.45	11.21
gene1144	53.3	88.95	91.05	87.62	125.21	106.73
gene1145	18.51	27.38	30.94	27.62	29.24	26.96
gene1146	41.71	35.86	44.72	67.83	40.38	46.38
gene1147	2.94	1.4	3.78	2.57	0.0	0.63
gene1148	7.74	4.52	6.54	6.67	5.08	4.98
gene1149	16.19	24.91	24.91	266.58	214.32	262.97
gene1150	20.38	22.64	20.85	32.8	22.82	30.44
gene1151	55.95	99.87	103.89	54.7	76.07	58.58
gene1152	12.4	20.84	19.2	26.61	32.73	29.72
gene1153	29.5	30.3	34.3	27.78	25.06	26.07
gene1154	4.36	6.1	6.4	16.09	67.48	26.16
gene1155	1.71	2.36	2.52	1.5	1.35	1.05
gene1156	3.29	2.78	1.93	3.67	3.5	2.37
gene1157	2.75	2.83	3.03	3.73	2.46	1.93
gene1158	82.88	113.6	106.35	133.99	145.88	131.68
gene1159	35.53	56.73	42.9	878.4	779.3	904.5
gene1160	80.85	75.37	75.54	69.85	87.49	71.99
gene1161	550.84	692.82	841.91	569.66	820.07	642.49
gene1162	8.35	7.77	7.32	9.13	10.88	6.23
gene1163	7.83	11.52	11.37	15.07	19.0	14.12
gene1164	434.83	413.3	532.64	452.62	675.92	463.88
gene1165	27.95	22.91	26.72	15.16	16.74	14.96
gene1166	71.48	79.48	81.95	161.44	211.74	172.31
gene1167	32.53	47.83	50.9	55.74	55.16	52.05
gene1168	19.84	32.58	31.59	61.84	63.56	70.79
gene1169	71.31	103.51	119.98	80.05	114.76	88.61
gene1170	25.45	39.12	39.14	33.08	42.6	36.32
gene1171	100.65	135.11	126.22	117.27	146.85	131.52
gene1172	28.12	40.37	40.59	33.53	48.13	35.64
gene1173	69.08	117.06	131.24	283.48	275.97	285.79
gene1174	1224.42	1481.75	1446.39	536.47	351.58	379.62
gene1175	0.3	1.05	1.01	1.34	1.74	1.2
gene1176	247.52	417.5	452.94	3718.89	3539.22	3861.46
gene1177	111.34	136.02	147.93	119.17	151.32	125.38
gene1178	1.38	2.91	2.82	2.2	3.59	3.01
gene1179	50.27	56.07	50.55	103.93	90.21	121.81
gene1180	4.2	3.7	3.16	3.75	5.39	4.1
gene1181	35.25	53.94	57.51	3.12	4.25	3.21
gene1182	72.53	114.43	103.84	94.18	126.72	89.19
gene1183	29.86	40.07	37.91	14.51	12.79	13.22
gene1184	0.85	10.3	11.16	48.94	90.42	55.05
gene1185	36.04	31.48	59.77	52.62	29.4	42.71
gene1186	61.98	76.25	82.9	128.38	106.52	111.96
gene1187	0.0	4.57	3.96	5.73	4.91	4.02
gene1188	10.47	8.37	7.59	15.27	16.57	15.87
gene1189	12.61	10.24	13.79	3.26	2.98	3.77
gene1190	93.37	112.69	128.41	74.54	95.28	88.23
gene1191	3.18	3.8	4.49	6.52	5.32	4.81
gene1192	57.63	69.91	69.48	78.32	61.25	71.65
gene1193	27.82	39.64	41.94	39.65	40.67	41.98
gene1194	144.48	154.36	176.3	180.88	131.92	168.34
gene1195	1.26	3.58	2.57	4.32	7.67	6.65
gene1196	10.86	15.39	21.55	50.91	59.11	42.18
gene1197	119.05	207.54	195.17	140.14	169.47	139.49
gene1198	279.65	342.81	349.75	510.12	543.47	504.68
gene1199	2.52	1.49	8.57	6.07	1.86	3.64
gene1200	37.02	40.86	45.72	59.02	52.25	67.17
gene1201	8.18	12.12	10.2	14.13	19.59	15.72
gene1202	115.7	189.72	193.33	158.37	277.49	203.93
gene1203	5.93	9.57	10.37	12.36	12.22	11.27
gene1204	29.28	31.42	40.06	30.49	36.17	37.96
gene1205	58.54	84.84	91.36	101.87	116.31	107.18
gene1206	0.0	0.0	2.23	3.16	0.0	1.24
gene1207	5.87	6.74	7.81	18.4	17.37	17.07
gene1208	6.04	2.6	2.91	4.97	1.77	2.59
gene1209	215.73	293.17	278.81	200.9	285.53	227.74
gene1210	51.41	54.9	64.78	37.08	63.13	44.31
gene1211	12.98	24.66	21.62	39.24	33.61	35.38
gene1212	0.5	0.26	1.26	2.32	1.27	1.12
gene1213	18.21	25.03	23.93	282.39	495.68	306.26
gene1214	2.02	3.04	2.57	9.43	10.55	7.42
gene1215	9.41	18.02	15.55	22.63	25.46	23.32
gene1216	1003.2	1058.43	1280.37	1745.68	1198.65	1468.6
gene1217	51.89	53.06	59.48	101.55	91.89	102.33
gene1218	18.56	39.77	34.56	28.51	33.21	29.14
gene1219	173.02	251.56	281.72	196.64	234.62	188.8
gene1220	139.33	120.27	162.37	98.67	95.04	80.08
gene1221	5.67	6.11	5.96	4.92	5.42	4.75
gene1222	2.21	4.78	3.1	3.79	6.12	4.11
gene1223	80.01	137.16	132.95	116.24	131.54	116.06
gene1224	0.95	0.88	1.9	3.15	0.0	4.64
gene1225	10.87	19.71	28.39	5.21	7.02	6.05
gene1226	1.26	0.61	0.66	0.0	0.0	0.0
gene1227	1.65	3.28	2.4	2.53	1.84	2.45
gene1228	365.08	403.64	526.79	509.25	403.81	427.25
gene1229	3.83	3.8	6.13	4.91	4.88	5.22
gene1230	4.86	2.79	7.82	3.12	3.1	1.52
gene1231	36.25	54.2	71.27	143.51	106.31	138.14
gene1232	2.21	1.6	2.47	2.6	6.01	3.7
gene1233	4.11	5.68	6.13	2.3	2.27	1.77
gene1234	135.14	181.71	186.44	205.02	276.25	224.08
gene1235	1.36	3.14	2.59	2.38	3.59	3.25
gene1236	55.16	80.25	86.46	69.76	92.02	72.79
gene1237	26.73	19.82	27.98	24.49	16.14	18.73
gene1238	505.02	699.24	718.31	237.86	379.87	266.2
gene1239	5.77	7.06	9.34	19.5	14.64	17.01
gene1240	7.29	6.56	6.44	10.37	35.24	12.23
gene1241	30.81	28.11	31.17	19.5	16.48	21.82
gene1242	134.54	174.51	167.11	142.09	181.34	155.23
gene1243	4.25	4.22	7.36	6.52	8.97	7.58
gene1244	21.0	21.7	16.62	40.77	42.98	40.94
gene1245	35.84	34.42	40.86	63.31	57.18	58.07
gene1246	11.71	8.37	6.76	9.29	10.21	8.11
gene1247	6.01	15.32	10.24	12.28	9.87	8.32
gene1248	25.57	30.92	32.53	23.02	25.56	21.37
gene1249	11.2	11.59	13.92	13.74	17.7	13.11
gene1250	15241.16	17542.79	18969.28	4899.66	4342.03	3925.82
gene1251	101.43	130.49	116.56	94.09	125.08	97.89
gene1252	31.86	50.61	55.09	41.28	53.51	40.76
gene1253	60.24	73.39	72.3	60.81	86.41	69.56
gene1254	94.3	131.9	151.9	145.3	161.12	151.63
gene1255	2.94	3.82	4.51	2.28	3.04	2.97
gene1256	126.92	178.01	174.39	516.24	507.18	444.02
gene1257	109.56	144.8	151.24	137.54	181.46	152.99
gene1258	3.88	2.21	7.49	1.98	0.89	2.61
gene1259	9.8	18.02	16.26	27.16	30.08	31.32
gene1260	6.91	11.54	9.18	4.5	7.28	5.5
gene1261	1.11	2.25	2.01	2.14	3.54	2.08
gene1262	262.71	311.16	338.54	237.7	296.02	246.69
gene1263	334.0	536.08	566.49	302.5	290.22	294.23
gene1264	85.19	92.47	127.77	81.6	104.74	95.39
gene1265	5.46	6.04	7.53	3.02	2.62	2.17
gene1266	593.2	750.89	849.47	287.72	307.39	269.94
gene1267	111.38	147.12	163.9	187.69	210.92	187.58
gene1268	12.74	12.81	21.55	21.51	25.32	30.63
gene1269	41.45	62.15	63.66	68.41	100.32	81.99
gene1270	0.55	1.58	1.44	1.97	2.18	2.02
gene1271	486.05	646.81	642.82	607.13	964.34	699.4
gene1272	3.55	1.8	4.13	2.98	2.82	2.62
gene1273	6.3	9.29	12.23	6.28	6.25	3.77
gene1274	71.93	109.21	111.36	98.58	137.72	103.1
gene1275	43.48	56.8	58.7	53.25	58.95	49.61
gene1276	87.32	97.49	102.12	124.3	190.48	127.86
gene1277	24.86	38.67	41.12	51.08	61.66	53.37
gene1278	18.16	28.21	24.2	1.03	1.36	0.67
gene1279	14.54	18.42	17.69	12.08	21.97	15.86
gene1280	1.71	5.11	4.99	10.36	11.69	11.34
gene1281	38.16	58.99	58.48	112.64	130.57	118.86
gene1282	26.4	22.9	25.09	29.69	25.38	31.34
gene1283	12.0	16.02	17.06	23.59	23.58	24.66
gene1284	15.73	18.01	21.04	24.13	27.2	23.56
gene1285	157.12	203.16	248.53	228.69	247.48	223.88
gene1286	103.14	125.83	166.74	115.68	86.67	104.0
gene1287	49.25	47.5	52.7	38.52	50.72	40.2
gene1288	12.6	13.29	18.41	15.86	12.2	15.0
gene1289	22.32	26.86	32.63	34.42	35.59	26.25
gene1290	95.03	85.48	95.09	90.75	87.91	92.43
gene1291	10.93	7.65	12.79	18.53	12.68	12.7
gene1292	105.25	166.57	166.19	161.18	178.83	172.5
gene1293	53.2	74.75	52.68	92.27	115.84	95.97
gene1294	26.22	43.08	35.26	42.59	58.05	50.76
gene1295	5.26	9.25	7.63	4.75	5.72	2.97
gene1296	40.69	50.64	57.18	31.57	41.13	33.87
gene1297	9.34	17.08	16.84	15.64	16.14	16.33
gene1298	10.02	5.57	6.86	19.85	11.42	17.67
gene1299	222.28	290.04	346.62	415.32	370.29	357.97
gene1300	192.67	257.4	358.97	234.9	308.55	243.15
gene1301	13.38	16.86	19.67	15.48	19.65	17.04
gene1302	4.13	4.05	5.06	7.42	6.92	6.85
gene1303	15.15	22.79	19.78	42.71	39.52	44.23
gene1304	11.16	16.59	13.47	16.24	15.78	15.44
